,sentence,word_count,Sentiment_score,Sentiment_SIA
0,love echo,2,0.6369,Positive
1,loved,1,0.5994,Positive
2,playing game answer question correctly alexa wrong answer turn light,10,-0.3182,Negative
3,lot fun thing yr learns dinosaur control light play game category nice sound playing music,15,0.8519,Positive
4,music,1,0.0,Neutral
5,received echo gift needed bluetooth play music easily accessible smart speaker cant wait,13,0.8555,Positive
6,cell phone feature i pad great alarm deaf hear alarm bedroom living room reason her it fun random question hear response smart bon politics,24,0.743,Positive
7,ive purchased working room house feature offer specifi ly playing music echo controlling light house,15,0.6597,Positive
8,great,1,0.6249,Positive
9,love ive listened song havent heard childhood news weather great,10,0.8519,Positive
10,year dad talk constantly,4,0.0,Neutral
11,love learning knew thing evey day figuring work easy understand laugh time,12,0.8934,Positive
12,purchased mother knee problem fast did she enjoys little big thing do alexa play song time cook,17,0.4588,Positive
13,love love love,3,0.9274,Positive
14,expected,1,0.0,Neutral
15,love wife hate,3,0.128,Positive
16,happy purchase great speaker easy set,6,0.8934,Positive
17,alexa couple day lot fun toy household member learn featues benefit,11,0.743,Positive
18,love size generation echo little improvement sound,7,0.785,Positive
19,original echo shorter greater fabric color choice volume ring top plus minus button big deal ring comforting standard usb charger port previous round pin guess sound work answer alexa echo computer,31,0.8074,Positive
20,love echo good music sound playing alexa understands command difficult time find specific playlist song spot if y good amazon music lacking major program,24,0.875,Positive
21,love alexa play music play radio itunes play podcasts any pod set reminder listen flash briefing news weather morning rely custom list voice control volume continue find uses sometimes bit frustrating alexa doesnt understand,34,0.8176,Positive
22,set day adding smart device speaker great playing music size stationed kitchen counter intrusive,14,0.8225,Positive
23,love play sleep sound,4,0.765,Positive
24,second unit bedroom expecting sound improved didnt difference big improvement st generation,12,0.1581,Positive
25,amazing product,2,0.5859,Positive
26,love echo easy operate load fun it advertised play favorite tune test alex as knowledge,15,0.9413,Positive
27,sound great love,3,0.8519,Positive
28,fun item play hard time answering question better,8,0.802,Positive
29,,0,0.0,Neutral
30,learning capabilities but pretty pretty pretty good,7,0.9568,Positive
31,,0,0.0,Neutral
32,work learning command unique owner user alexa learn tas has birthday alexa learn definition fine great,16,0.7096,Positive
33,speaker sound pretty good small setup pretty easy bought reason rate instruction synching music unit ive correctly sync primary motivation purchasing multiple unit,23,0.9274,Positive
34,device awesome,2,0.6249,Positive
35,bought compare speaker quality generation speaker sound better ship daughter fact generation chargeable base bought mobile better sound,18,0.7003,Positive
36,love echo learning thing follow instruction included package great u tube,11,0.8519,Positive
37,speaker better st generation echo,5,0.4404,Positive
38,thing cool cool,3,0.5574,Positive
39,digital assistant good review speaker good cheap price prime day fun play alarm clock going place ended echo havent definitely it what best number device connect purchase smart plug connect lamp alexa turn light,34,0.933,Positive
40,husband like listen music knew capability,6,0.3612,Positive
41,android allow alexa connect fortunately sister apple cell hour tech support fixed glitch running,14,0.5574,Positive
42,good,1,0.4404,Positive
43,play broadway camelot ne group camelot,6,0.34,Positive
44,great,1,0.6249,Positive
45,satisfied echo alexa control light family room wife listen jimmy buffet alexa,12,0.4215,Positive
46,siri fact siri answer accurately alexa dont real household good bargain prime day deal,14,-0.1546,Negative
47,love echo learning thing work ton fun,7,0.8176,Positive
48,love,1,0.6369,Positive
49,apple play specific list music amazon spot if y plus prime etc account pay play music star reason,18,0.6249,Positive
50,excelente lo unico e esta en espaol,7,0.0,Neutral
51,learning echo great sound better expecting,6,0.7906,Positive
52,work expect good sound quality considering price sale feature,9,0.4404,Positive
53,sound echo generation phenomenal mention love alexa helpful,8,0.7906,Positive
54,google better,2,0.4404,Positive
55,play learn,2,0.34,Positive
56,work advertised easy setup learning,5,0.4404,Positive
57,great sound easy set,4,0.7906,Positive
58,love alexa bought friend,4,0.8126,Positive
59,love echo purchased company husband alexa great tell joke play favorite song,12,0.9423,Positive
60,,0,0.0,Neutral
61,love listen music easily learning feature,6,0.765,Positive
62,device thing overview,3,0.0,Neutral
63,love built hub,3,0.6369,Positive
64,play music work wonderfully thing amazon tip help,8,0.8658,Positive
65,easy set,2,0.4404,Positive
66,fast response amazing clear concise answer sound quality fantastic alexia us de echo full extent,15,0.875,Positive
67,need na nana,3,0.0,Neutral
68,expected,1,0.0,Neutral
69,love echo work dont smart speak function good,8,0.7043,Positive
70,great sound small package easy set fun,7,0.8834,Positive
71,work sound great,3,0.6249,Positive
72,sound amazing collection music,4,0.5859,Positive
73,setting,1,0.0,Neutral
74,doesnt listen,2,0.0,Neutral
75,awesome,1,0.6249,Positive
76,bought control fios television work hoping time control fios discovered thing alexa play music great sound alexa play game play radio station play time radio program long ranger alexa apps add ability day played madlibs great fun alexa control household appliance purchased alexa compatible power strip control lighting fan tv component forward implementing controll add alexa component chosen music play room component located,63,0.9839,Positive
77,speaker excellent sound work perfectly,5,0.836,Positive
78,,0,0.0,Neutral
79,love,1,0.6369,Positive
80,little nervous received echo tech savvy bit intimidating didnt long figure happy purchase thinking adding echo spot,17,-0.7721,Negative
81,learning,1,0.0,Neutral
82,great technology cant speaker volume quality wonderful bought,8,0.8316,Positive
83,purchased echo dot husband father day constantly hearing quality sound echo generation no brainer best gift,16,0.7096,Positive
84,work fine,2,0.2023,Positive
85,,0,0.0,Neutral
86,clear music,2,0.3818,Positive
87,fun good sound quality,4,0.7351,Positive
88,echo work sync amazon music device,6,0.1779,Positive
89,work great dont amazon charge cent unlimited music prime buy echo,11,0.5547,Positive
90,echo dot echo better fuller sound setup phone call contact list great,12,0.7906,Positive
91,speaker sound good,3,0.4404,Positive
92,good sound work,3,0.4404,Positive
93,love alexa savvy support helpful patient,6,0.8658,Positive
94,love thinking prime day discount offered pas fun alexa play song group playlist amazon prime music connect i phone bluetooth play music pandora youtube video alexa speaker ive fun alexa type question weather news time country downside limited data wifi plan alexa burn playing music,45,0.9349,Positive
95,lot,1,0.0,Neutral
96,love strictly music great,4,0.8519,Positive
97,love echo love size material speaker quality hooked light easily work additional light thermostat echo dot bedroom lot echo traffic weather trivia,22,0.8957,Positive
98,love,1,0.6369,Positive
99,entire family love alexa echo family,6,0.6369,Positive
100,great fun function product wow family fun homework help talking grandchildren who echo huge bonus cant wait learn,18,0.9719,Positive
101,love,1,0.6369,Positive
102,awesome thing love alexa,4,0.8519,Positive
103,worked exactly expected speaker great sound perfect classroom,8,0.8316,Positive
104,love love little gadget life easier personal secretary living cd alexa play going alexa dot room,16,0.9237,Positive
105,speaker surprising quality happy purchase,5,0.7003,Positive
106,easy set work wonderful love,5,0.8957,Positive
107,impressed sound quality playing music device bass sound coming bigger speaker prop amazon,13,0.6808,Positive
108,great product but sound quality worse dont wrong definitely hour definitely feel echo gen sound quality better besides great with addition play bluetooth wifi better,25,0.9247,Positive
109,outlet work disappointed,3,-0.4767,Negative
110,great device responsive helpful,4,0.8555,Positive
111,sound terrible good music bose,5,-0.0516,Negative
112,sound troubling paid extra money access song doesnt work alexa play italian song dont understand play opera tosca response dont,20,-0.763,Negative
113,easy set bad plugged nice operate battery recharged,8,0.296,Positive
114,learning way real hit grandkids play music dance yr cute,10,0.6597,Positive
115,star generally product great playing music setting timer making call reason didnt rate connection dy echo stop playing music red ring connection issue great product,25,0.8625,Positive
116,work great upgraded echo dot full size echo happier,9,0.8176,Positive
117,alexa,1,0.0,Neutral
118,upgraded li lttle echo dot happy sound,7,0.5719,Positive
119,excellent product set ease,4,0.7351,Positive
120,ive gen echo worked purchased gen prime day happy improved speaker enhanced sound music,14,0.7783,Positive
121,love echo smart speaker love volume clarity easy set wonderful gift age,12,0.9729,Positive
122,wonderful product fast delivery,4,0.5719,Positive
123,initially harder set called tech knowledgeable working great,8,0.6249,Positive
124,easy set family love,4,0.7964,Positive
125,great sound responsive voice command,5,0.765,Positive
126,live long echo enjoy music style alexa going upg reade wireless love echo love alexa,15,0.9118,Positive
127,cool product speaker sound good spot if y blasting,9,0.6369,Positive
128,fun alexa love listen music room busy,7,0.8176,Positive
129,nice item pick voice understands problem day asked turn music room heard fine ive listen music check weather thing,19,0.2263,Positive
130,love echo,2,0.6369,Positive
131,love its he helpful remembering thing sleep week learning,9,0.7906,Positive
132,better st gen ring top volume control quicker easier grab top twist button find press time bass bit better great device happy,22,0.9584,Positive
133,love alexa,2,0.6369,Positive
134,,0,0.0,Neutral
135,thoroughly enjoying eco o love read audiobook office simply open audiobook kindle continue wonderful listening music mood book great setting reminder,21,0.9513,Positive
136,love,1,0.6369,Positive
137,love,1,0.6369,Positive
138,love sound quality unit clear sound,6,0.7783,Positive
139,listening talk radio morning turning light system excellent job full house sound system streaming sirius,15,0.5719,Positive
140,week learning alexa learning process love music call time listen podcasts radio station started keeping shopping list grocery list love dont search paper pencil time temperature great wait weather report sound good fussy woofer tweeter base echo fine afternoon going dropping in on son going surprise,46,0.9601,Positive
141,feature,1,0.0,Neutral
142,great sound quality great feature great product multi room music cool,11,0.9393,Positive
143,cool,1,0.3182,Positive
144,echo three bought echo qvc,5,0.0,Neutral
145,annoying alexa downloaded spend time figure phrase machine,8,-0.4019,Negative
146,alexa accidentally spilled water replaced generation decided echo setup easy working minute,12,0.128,Positive
147,alexia music hear trouble finding song specific title,8,-0.4019,Negative
148,better original echo moved echo basement family room nice sound,10,0.7906,Positive
149,echo wonderful learning music request limited,6,0.4215,Positive
150,doesnt half thing asked cant recognize sprinkler wifi controller product detail compatible cant program change wifi thermostat setting matched wifi router handy music player amazon music,26,0.1779,Positive
151,love,1,0.6369,Positive
152,awesome understands kid,3,0.6249,Positive
153,pleasantly surprised sound quality feature nice easily hear artist hear book simple command forward exploring option device,17,0.8481,Positive
154,met exceeded expectation easy set quick response,7,0.4404,Positive
155,fact kind music prime request alexa informative photo little pamphlet included connect tv command alexa love music,17,0.8225,Positive
156,access echo thorough prime account top video music setup app define example music integrated echo playlist echo set play list setting fact exact match playlist name remember i ready nature echo respond query,33,0.6908,Positive
157,great item audible book better,5,0.7906,Positive
158,prime day gen echo sale resist smart set happier alexa amazing job connecting smart device control light smart plug tv trouble connecting echo wifi phone app work perfectly fine add skill routine smart device timer sound quality good audiophile alexa hear voice watching movie high volume design great modern definitely add nice touch change cover sale great addition enables possibility havent add alexa,63,0.989,Positive
159,versatile fun,2,0.5106,Positive
160,work great killer speaker wife son love,7,0.6124,Positive
161,regret waiting long purchase item surprised pleased sound quality,9,0.25,Positive
162,stopped working week didnt follow command fun working,8,-0.5577,Negative
163,love working thing set love grocery list app,8,0.8555,Positive
164,performs pretty expected disappointed provide terminology play kind music subscribing amazon music service understand music choice limited knowing access music provided free echo purchase chart showing language,27,0.8402,Positive
165,easy set,2,0.4404,Positive
166,product speaker high quality expected,5,0.0,Neutral
167,great investment alexa helped laugh,5,0.8271,Positive
168,ex ho love,3,0.6369,Positive
169,love plan gender music big band jazz easy find local radio sound good voice command phone call,17,0.875,Positive
170,good,1,0.4404,Positive
171,super easy set loving echo,5,0.8934,Positive
172,speaker alexa,2,0.0,Neutral
173,best father day gift dad joked mom alexa listening repeated story going forward,13,0.8555,Positive
174,great addition breakfast room kitchen tune instantly slowly learning feature,10,0.6249,Positive
175,sound quality,2,0.0,Neutral
176,sad joke worthless,3,-0.5859,Negative
177,entertainment,1,0.4215,Positive
178,good quality,2,0.4404,Positive
179,work great sound great beat battery better portability,8,0.9022,Positive
180,loved till stole d cant afford replace going,8,0.5994,Positive
181,alexa rock,2,0.0,Neutral
182,gift love bought allows play music am oz on prime music worth news brief tell joke,16,0.9118,Positive
183,,0,0.0,Neutral
184,mom bought echo dot repeated great told day hour live life amazing large speaker small echo dot returning going order alexa speaker big echo to ull returning echo dot live,30,0.836,Positive
185,love great product,3,0.8519,Positive
186,easy set user friendly,4,0.7269,Positive
187,disappointed alexa plugin wall socket time fault checking assumption company technologically advanced amazon sell product rechargeable battery return apple music boom speaker flexibility alexa,24,-0.1779,Negative
188,dont gen sound good st aux add external speaker going dot issue isnt unique unit dont understand cant override default prevents playing blue tooth speaker playing group delay bt speaker unit heard play group bt speaker,36,0.0186,Neutral
189,,0,0.0,Neutral
190,interaction question dont cant setup schedule connected lamp,8,0.0,Neutral
191,sup be rb sound definitely worth extra money listen lot music,11,0.5574,Positive
192,love amazon echo sound quality great lot fun handy music update weather sport,13,0.9231,Positive
193,love grandkids,2,0.6369,Positive
194,worked intuitive link device skill hang,6,0.0,Neutral
195,work advertised,2,0.0,Neutral
196,love,1,0.6369,Positive
197,love addition house speaker quality great love alexa complaint suggestion future series better communication ability example smart light house kitchen light kitchen light prior command respond doesnt recognize alexa respond repeat alexa time respond husband sound odd laugh southern thing alexa manner,42,0.9661,Positive
198,music trivia game weather,4,0.0,Neutral
199,described received time automatic enrolment music,6,0.0,Neutral
200,great device,2,0.6249,Positive
201,owned echo over a year lack easy increase decrease volume telling increase decrease volume hard wife english second language born korea sound echo superb,24,0.836,Positive
202,love kitchen work,3,0.6369,Positive
203,nice impressed,2,0.7096,Positive
204,love product nice easy access info,6,0.872,Positive
205,great sound bass doesnt work time hot recognizes thing,9,0.6249,Positive
206,discovering echo,2,0.0,Neutral
207,amazing pa roduct,3,0.5859,Positive
208,good hearing range sound quality bit complicated set doesnt understand lot speaking slowly clearly love flash briefing feature interfacing abode security system,22,0.9042,Positive
209,speaker sound good,3,0.4404,Positive
210,absolutely love,2,0.6697,Positive
211,best product control thermostat light house isnt dislike,8,0.7494,Positive
212,thoroughly enjoying amazon echo installation easy alexa app purchased kasa smart plug control living room light installation easy kasa app sin que d echo enjoying playing music echo sound quality awesome kasa smart bulb kitchen setup seamless forward adding automation,40,0.9677,Positive
213,entertainment,1,0.4215,Positive
214,cool product easy setup fun sound quality better anticipated,9,0.886,Positive
215,love great sound easy connect,5,0.9042,Positive
216,doesnt work fairly smart tv tv manufacturers lg fault supporting older tv year smart lock additional piece equipment order connect speaker sound great work,24,0.1984,Positive
217,great sound little speaker,4,0.6249,Positive
218,enjoy,1,0.4939,Positive
219,,0,0.0,Neutral
220,cool,1,0.3182,Positive
221,good quality great sound quality,5,0.7906,Positive
222,work perfectly,2,0.6369,Positive
223,great product alexa understand command fire tv fabulous speaker,9,0.7269,Positive
224,love echo great sound smart,5,0.9001,Positive
225,love,1,0.6369,Positive
226,play great,2,0.7579,Positive
227,work absolutely great,3,0.659,Positive
228,amazing product great sound quality,5,0.836,Positive
229,best thing ive invested,4,0.6369,Positive
230,extremely impressed item bought warehouse outlet minor imperfection cant work great didnt packaging sealed damage missing sound quality knock bose great family easy minor learning curve learns voice integrates seamlessly amazon services cant wait classroom lot fun speaker plan,39,0.6289,Positive
231,love echo bedroom wonderful music info sleeping sound,8,0.836,Positive
232,awesome life changer seriously start morning alexa wake me alarm playing music voice room listen love echo dont hesitate price speaker unbelievable buying cordless holder echo love purchase love alexa,30,0.9585,Positive
233,super impressed alexa prime lapsed play isnt smart differentiate spot if y account cant randomly speaks talking today unplugged her not ill alexa,23,0.8582,Positive
234,,0,0.0,Neutral
235,,0,0.0,Neutral
236,issue buying electronics long good read comment,7,0.4404,Positive
237,family love echo,3,0.6369,Positive
238,bought wife love,3,0.6369,Positive
239,fun today pod car house,5,0.5106,Positive
240,,0,0.0,Neutral
241,third echo worth penny household employee small flat rate bedroom living room drop in intercom listen music answer quick question alarm wake school,23,-0.3818,Negative
242,listen music set timer,4,0.0,Neutral
243,received echo perfect condition device easy set responds issue alexa great addition family,13,0.8934,Positive
244,good sound music scheduling random thought recorded joke cute,9,0.7964,Positive
245,purchased learn pleased amazed action perform enjoying forward learning option,10,0.8591,Positive
246,echo great smaller,3,0.6249,Positive
247,funny buy fun wind totally loving,6,0.8858,Positive
248,bought replace dot living room speaker better hears better tv doesnt understand respond request dot frequently request time dot exactly request dont consider upgrade,24,0.7003,Positive
249,good experience second generation echo thing learn time enjoying music weather update alarm feature personality purchased mini smart socket excited,20,0.8402,Positive
250,trouble connecting tv exactly tech smart grandson figure ive music,10,0.0,Neutral
251,simply love echo watch tv busy listening music speaker pretty goo size fun skill echo fun family,17,0.9325,Positive
252,enjoyed entire echo experience,4,0.5106,Positive
253,easy set,2,0.4404,Positive
254,echo amazing device time intuitive time clear simple result installation fairly straightforward messed time simply thought step complete lose ground figured advice patient app move step my biggest issue moment echo device intercom told cant echo aware existence alexa answer instruction change fault designer anticipate easier find needed instruction small deal device savvy people challenge,55,0.4019,Positive
255,loving,1,0.5994,Positive
256,original alexa tap generation best happy making improvement one it great update little a i help lot bug happy play music house adjust bass treble,25,0.9772,Positive
257,pleased echo generation nice alexa music weather news lot havent discovered,11,0.6908,Positive
258,pleasantly surprised sound quality echo big fan deep bass sufficient potential control option explore evolve smart voice recognition impressive stylish fun regret purchase great technically change people play song movie responds instantly elderly loved great gift connected wifi simple unlimited music control amazon prime premium spot if y blown personal dj conversation echo embarrassed echo laugh couple time joke tell package amazon prime addict extremely handy,66,0.9881,Positive
259,easy setup love thing,4,0.7964,Positive
260,alexa house the future arrived,5,0.0,Neutral
261,alexa amazon find today resist echo best thing side house happier,11,0.8519,Positive
262,arrived expected,2,0.0,Neutral
263,bought week ago product excellent dont forget buy charger ordering pool worry hiring electrician outlet yard,16,0.354,Positive
264,terrific,1,0.4767,Positive
265,love echo,2,0.6369,Positive
266,smaller original nicer,3,0.6369,Positive
267,work great,2,0.6249,Positive
268,husband call late adopter technology decide echo serve music source wow amazed great sound great time listening favorite song buy alexa buy elderly dad enjoy listen music place call,29,0.9698,Positive
269,enjoyed changing directv channel play i heart radio pandora adjusts ac thermostat turn living room light light,17,0.6908,Positive
270,wanting bought prime day absolutely love,6,0.6697,Positive
271,glad echo bluetooth speaker alexa stuff smart speaker personally love timer feature helped cooking multiple thing simultaneously pandora integration feature daily happy prime day purchase echo hub echo dot future,30,0.9274,Positive
272,subject love,2,0.6369,Positive
273,love,1,0.6369,Positive
274,easy setup,2,0.4404,Positive
275,hesitant buy echo echo dot good echo sound quality didnt feel needed glad difference sound superior echo dot listen greatest showman little power,23,0.7975,Positive
276,sound quality great learning thing fun,6,0.8126,Positive
277,good deal work great prime setup bit pain fault crappy internet service worked great nice sound small speaker,18,0.6486,Positive
278,love,1,0.6369,Positive
279,work great perfect office,4,0.8316,Positive
280,love inside house pool good bose speaker house,8,0.7964,Positive
281,easy use amazing,3,0.7717,Positive
282,nice product,2,0.4215,Positive
283,love echo totally amazed speaker quality bummed didnt buy prime day,11,0.8268,Positive
284,responsive great sound quality size,5,0.765,Positive
285,efficient amazing cool day,4,0.836,Positive
286,impressed quality sound echo definitely comparable bose mini star cant apple music account,13,0.7003,Positive
287,technology small device price good sound amazing feature,8,0.7717,Positive
288,music learning time bad,4,-0.5423,Negative
289,replaced st gen concerned smaller unit sound i wrong volume clear good product,13,0.34,Positive
290,great addition echo,3,0.6249,Positive
291,best,1,0.6369,Positive
292,love feature play music room multiple echo,7,0.765,Positive
293,love alexa surprised,3,0.7269,Positive
294,product enjoyment love,3,0.8316,Positive
295,easy great sound it great purchase great price,8,0.9451,Positive
296,easy set issue,3,0.4404,Positive
297,unit add pleasure echo music room,6,0.5719,Positive
298,extremely simple thing spot if y audible thing doesnt answer nice,11,-0.3252,Negative
299,difficult set timing enter password,5,-0.3612,Negative
300,echo shopping list listening music timer working great,8,0.6249,Positive
301,cool lot fun week learning capability,6,0.6808,Positive
302,love love,2,0.8555,Positive
303,love hard time setting apps,5,0.5859,Positive
304,office apartment music,3,0.0,Neutral
305,great music little hard figure work,6,0.6115,Positive
306,year time birthday gift dad love alexa answer good homework purchased prime day bathroom ready work listen music base metro booming replacement clock radio echo dot night stand alarm clock,30,0.8779,Positive
307,impressed clarity sound color,4,0.7003,Positive
308,alexa amazing great speaker,4,0.836,Positive
309,alexa dont connected tv thing music great,7,0.6249,Positive
310,work sound great house barely sf sitting kitchen counter hear speak room lot functionality discover,15,0.6249,Positive
311,pure fun echo weather joke news briefing music lot fun money,11,0.8316,Positive
312,time communicate kid,3,0.0,Neutral
313,love learning lot thing easier forget turn light room alexa turn light,12,0.7269,Positive
314,bought daughter turned love calling feature doesnt cell phone love playing music dancing amazon music play favorite song lol,19,0.959,Positive
315,wedding gift havent discovered feature update playing music great,9,0.8316,Positive
316,impressed sound quality,3,0.4767,Positive
317,pleased purchase echo smart speaker love fact play music genre want had trouble wi fi working,16,0.8689,Positive
318,wife enjoy ease playing music game fun entertaining forward adding smart product,12,0.9371,Positive
319,second echo love help kitchen set timer listen news prepare grocery list great music,14,0.9001,Positive
320,sound quality good alexa answer question,6,0.4404,Positive
321,second echo dot speaker weak purchased listening music speaker great,10,0.296,Positive
322,great sound,2,0.6249,Positive
323,great,1,0.6249,Positive
324,speaker stream music month kinda useless,6,-0.3626,Negative
325,set user friendly setup user friendly hoped alexa app download pc installing invasive driver wife retired install alexa son supplying smart phone alexa,23,0.8934,Positive
326,easy set enjoying,3,0.743,Positive
327,echo doesnt built battery plugged time inconvenient,7,-0.34,Negative
328,compact bit better original,4,0.6369,Positive
329,love pretty cool,3,0.8658,Positive
330,living room music sound good living room hear upstairs,9,0.4404,Positive
331,great product set easy sound wonderful,6,0.8934,Positive
332,bought music sound pretty good,5,0.7269,Positive
333,love,1,0.6369,Positive
334,love,1,0.6369,Positive
335,glad bought,2,0.4588,Positive
336,type fun music,3,0.5106,Positive
337,volume top turn,3,0.2023,Positive
338,capability program grandkids lve,4,0.0,Neutral
339,love echo hour music help things it difficult set help tekk ie,12,0.7964,Positive
340,good bose love house music,5,0.7964,Positive
341,alexa,1,0.0,Neutral
342,easy setup app easy install phone sound quality listening music pandora wonderful,12,0.8591,Positive
343,learning echo love,3,0.6369,Positive
344,work awesome,2,0.6249,Positive
345,work great,2,0.6249,Positive
346,small speaker sound great,4,0.6249,Positive
347,great sound size prize course alexa,6,0.8126,Positive
348,dont echo definitely,3,-0.3089,Negative
349,great device work better st generation,6,0.7906,Positive
350,item longer work month connect wifi unresponsive reset request,9,0.0,Neutral
351,love echo dot easy fun drop grandaughter life mile sound,10,0.8519,Positive
352,work great,2,0.6249,Positive
353,going kitchen timer music duty,5,0.0,Neutral
354,love volume definitely boost better built speaker definitively star thought ahead audio auxiliary input bought dedicated speaker echo proved best,20,0.9623,Positive
355,work fine,2,0.2023,Positive
356,work great brand love echo dot main room house,9,0.8519,Positive
357,refurbished item work love easy set love issue volume listening relaxing fine expecting recommend purchasing speaker,16,0.9571,Positive
358,loud,1,0.0,Neutral
359,love,1,0.6369,Positive
360,feel echo dot thing question understand,6,0.0,Neutral
361,thing barely work select party apps stuff box sending mine asap waste money,13,-0.0935,Negative
362,gift man doesnt plug picture cord prefer cordless work purpose bought,11,0.4404,Positive
363,amazon echo device purchased refurbished satisfied time cant brand price cheaper echo wake timer play music encyclopedia turn light,19,0.7096,Positive
364,small echo dot amazing sound great it change nest thermostat and phillips hue lights without leaving chair,17,0.836,Positive
365,talk time song dislike device,5,-0.3818,Negative
366,disappointed amazon technology,3,-0.34,Negative
367,worked promised,2,0.3612,Positive
368,returned echo dot refund returned package refund package,8,0.0,Neutral
